Módulo;ID Prueba;Descripción;Estado (✅/⚠️/❌);Notas/Errores Encontrados
1. Autenticación y Acceso Público;AUTH-01;Navegación libre: Landing Page y páginas legales accesibles sin login;;
1. Autenticación y Acceso Público;AUTH-02;Login Exitoso: Login válido redirige al Dashboard;;
1. Autenticación y Acceso Público;AUTH-03;Manejo Errores Login: Contraseña errónea no crashea app;;
1. Autenticación y Acceso Público;AUTH-04;Recuperación de Contraseña: Botón y flujo operativos;;
1. Autenticación y Acceso Público;AUTH-05;Logout: Modal confirmación y limpia datos de sesión;;
2. Dashboard y Menú Principal;DASH-01;Vista Inicial: Carga nombre y avatar correcto;;
2. Dashboard y Menú Principal;DASH-02;Widgets Dashboard: Resumen de acuerdos y semana carga datos;;
2. Dashboard y Menú Principal;DASH-03;Notificaciones: Contador visualiza y clic marca leído;;
2. Dashboard y Menú Principal;DASH-04;Responsividad: Menú colapsa en móvil adecuadamente;;
3. Gestión de Acuerdos;AGR-01;Mis Acuerdos: Solo lista acuerdos activos del usuario;;
3. Gestión de Acuerdos;AGR-02;Creación Simple: Crear acuerdo desde cero guarda y aparece en Dashboard;;
3. Gestión de Acuerdos;AGR-03;Validación Formularios: Prohíbe guardar sin título o datos clave;;
3. Gestión de Acuerdos;AGR-04;Vista Detalle: Renderiza participantes y reglas;;
3. Gestión de Acuerdos;AGR-05;Edición: Permite editar cualquier campo y persiste;;
3. Gestión de Acuerdos;AGR-06;Archivar: Archiva acuerdo ocultándolo de listado principal;;
3. Gestión de Acuerdos;AGR-07;Mis Compromisos: Vista separa acuerdos de compromisos;;
4. Rituales y Preparación;RIT-01;Nuevo Ritual: Guarda hora, agenda y tipo correctamente;;
4. Rituales y Preparación;RIT-02;Recordatorio Ritual: Permite 'Entrar' o 'Posponer';;
4. Rituales y Preparación;RIT-03;Flujo de Preparación: Paso a paso asíncrono avanza y guarda estado;;
4. Rituales y Preparación;RIT-04;Reflexión/Live: Apuntar ideas en directo y visualizarlas;;
4. Rituales y Preparación;RIT-05;Historial: Lista ritos pasados con sus conclusiones;;
5. Organización y Perfil;ORG-01;Directorio Team: Accesible y lista los miembros;;
5. Organización y Perfil;ORG-02;Perfil Compañero: Clic en directorio abre preferencias y contacto;;
5. Organización y Perfil;ORG-03;Privacidad: Guarda preferencias de visibilidad;;
5. Organización y Perfil;ORG-04;Carga Masiva (Admin): Carga bulk rechaza formato incorrecto u opera;;
5. Organización y Perfil;ORG-05;Exportar Datos: Botón Data Export genera interacción válida;;
6. Mi Perfil y Accesibilidad;PRF-01;Editar Datos: Subir/cambiar avatar, rol y nombre;;
6. Mi Perfil y Accesibilidad;PRF-02;Inclusión: Dislexia, colores y verbal/escrito aplican inmediatos;;
6. Mi Perfil y Accesibilidad;PRF-03;Región/Idioma: Dropdown ajusta uso horario y se guarda sesión;;
7. Extras;EXT-01;Librería: Usar plantilla abre nuevo acuerdo prellenado;;
7. Extras;EXT-02;Reportes: Gráficas de Monthly/Weekly renderizan correctamente;;
7. Extras;EXT-03;Global Search: Buscador despliega instantáneo y click redirige;;
7. Extras;EXT-04;Feedback Box: Enviar sugerencia regresa al Dashboard tras OK;;
7. Extras;EXT-05;Clarity Cards: Convertir idea a Acuerdo vincula a Formulario;;
